ID,Label
ID_ADHEtjTi,SOCIAL ISSUES
ID_AHfJktdQ,RELIGION
ID_AUJIHpZr,RELATIONSHIPS
ID_AUKYBbIM,LAW/ORDER
ID_AZnsVPEi,HEALTH
ID_AcEmtLNf,SOCIAL
ID_AeOXSXRV,POLITICS
ID_AgyQFeQn,ECONOMY
ID_AjOcippL,POLITICS
ID_AjzKuqko,POLITICS
ID_AtYxYHTe,SPORTS
ID_AyKlcuII,SOCIAL
ID_BCcZpVbb,RELIGION
ID_BDLxsYrM,SOCIAL ISSUES
ID_BFjxDKzn,TRANSPORT
ID_BHiycwhi,POLITICS
ID_BPKOFhQH,SOCIAL
ID_BRhpMuVP,ECONOMY
ID_BSyTynBa,RELIGION
ID_BVixdsDf,HEALTH
ID_BYTupytC,RELIGION
ID_BbAkaXLa,POLITICS
ID_BjLvFnkh,SOCIAL ISSUES
ID_BjzRuprk,OPINION/ESSAY
ID_BugZvzXU,SOCIAL ISSUES
ID_CANiWAeO,SOCIAL
ID_CBpEoLgh,RELIGION
ID_CJFckMlM,SOCIAL
ID_CLFkuAHT,FARMING
ID_CMBLAzAY,FARMING
ID_CNQztgFD,LAW/ORDER
ID_CNbveyvk,OPINION/ESSAY
ID_CWcVYAQq,ARTS AND CRAFTS
ID_CcPVDyLd,SOCIAL
ID_CgpwzAvx,HEALTH
ID_CnBdfRNN,HEALTH
ID_DCyNgqHP,POLITICS
ID_DGvBfQpq,HEALTH
ID_DHUJdPWn,SOCIAL ISSUES
ID_DUamJMpj,ARTS AND CRAFTS
ID_DZscLZlB,OPINION/ESSAY
ID_DaJlsiEY,SOCIAL
ID_DbDMKQNq,SOCIAL
ID_DceQPvFY,RELIGION
ID_DcmwbSpF,CULTURE
ID_DfbhJMQN,WILDLIFE/ENVIRONMENT
ID_DiKAsmSx,LAW/ORDER
ID_DkNZmjeX,EDUCATION
ID_DvKpsrBg,RELATIONSHIPS
ID_DyHSedWk,SOCIAL ISSUES
ID_EArNhUda,SOCIAL ISSUES
ID_EGPJuAtm,RELIGION
ID_EHaCfpWj,POLITICS
ID_EKBLCilh,EDUCATION
ID_EclMgyUS,POLITICS
ID_EhOshbTa,POLITICS
ID_EhxpVyRX,MUSIC
ID_EifoVLgn,RELATIONSHIPS
ID_EmJPzNDP,POLITICS
ID_EpiExOuM,POLITICS
ID_EqkeMLWS,MUSIC
ID_ErJPiypU,SOCIAL
ID_FFadwznf,POLITICS
ID_FLeHlVUy,LAW/ORDER
ID_FNWRqPeU,RELATIONSHIPS
ID_FOsQOmtB,HEALTH
ID_FQfGsORO,ECONOMY
ID_FWXPegqX,ARTS AND CRAFTS
ID_FbmxLBEg,LAW/ORDER
ID_FcWUbnOa,MUSIC
ID_FgGkHaEF,HEALTH
ID_FiNNPTxr,LAW/ORDER
ID_FjGUiTrs,LAW/ORDER
ID_FzwxCoyj,SOCIAL ISSUES
ID_GCNHNGMZ,FARMING
ID_GDtTRlPe,ARTS AND CRAFTS
ID_GINvEwFI,ECONOMY
ID_GKwLzKgy,EDUCATION
ID_GOSxfZEC,ECONOMY
ID_GPkkKBXb,RELIGION
ID_GTNvHbdi,SOCIAL
ID_GYRcHOYo,SOCIAL ISSUES
ID_GngCDUHN,SOCIAL
ID_GwoDdZnr,POLITICS
ID_GzSQwTnY,POLITICS
ID_HCVSORZe,SOCIAL
ID_HCmpjUVy,RELIGION
ID_HEwfEIXA,HEALTH
ID_HFqOBwfZ,CULTURE
ID_HIvyXxtS,SOCIAL
ID_HMLIkMGI,RELATIONSHIPS
ID_HUrfvnJD,WITCHCRAFT
ID_HYPhbdtX,RELATIONSHIPS
ID_HbGPApML,LAW/ORDER
ID_Hdwdogzt,SOCIAL ISSUES
ID_HnRCdApd,LAW/ORDER
ID_HquDBwrI,SOCIAL
ID_HtNrYCGR,RELIGION
ID_HvbvXgZS,RELATIONSHIPS
ID_HwuMwNqg,SPORTS
ID_HzqEklQM,LOCALCHIEFS
ID_ICzddUex,SOCIAL
ID_IEeMEhtM,SOCIAL
ID_IIADkcql,CULTURE
ID_IJMqBDqo,POLITICS
ID_ILNMNDHU,ECONOMY
ID_IOaQZPeL,LAW/ORDER
ID_IRFdOXfH,ECONOMY
ID_ISZxvXAz,POLITICS
ID_IYVHkPFc,ECONOMY
ID_IebaQyEh,ECONOMY
ID_IhbgeOud,POLITICS
ID_IoknmxmI,LAW/ORDER
ID_IsJZmadN,RELIGION
ID_IuLQmPJX,SOCIAL ISSUES
ID_IwNnylGK,RELIGION
ID_JCiClLlb,RELIGION
ID_JDLbygPA,LAW/ORDER
ID_JDxgCvbS,RELIGION
ID_JFsqEpxf,FARMING
