ID,Text,Label
ID_AASHwXxg,"  mwangonde khansala wachinyamata akamati achinyamata atsogoleri mawa ambiri amaganiza nkhambakamwa chabe achinyamata lusubilo mwangonde akukwaniritsa akupherezetsa mawuwa osati pongolota adzakhala kutsogolera kumene yawo yakwana dailes banda adacheza mwangonde khansala wachinyama yemwe akuimira jumbo ward mumzinda wa mzuzu motere   chisale watuluka nkumangidwanso   sipakala waimitsa nyumba ya malamulo   wenela pasintha zedi masomphenya mwangonde tikudziweni   ndine lusubilo mwangonde ndili zaka 27 zakubadwa ndinabadwa mbanja la ana asanu ndine wachinayi kubadwa ndimachokera mmudzi mwa mwamalopa kwa paramount chief kyungu mboma la karonga sindili pabanja pakadalipano 
  mbiri ya maphunziro anu yotani maphunziro anga pulaimale ndidachitira kusukula yapulaiveti ya viphya mumzinda wa mzuzu asekondale ndidachitira phwezi boys mboma la rumphi ndili diploma ya accounting pakadalipano ndikupanga digiri chartered accounting kusukulu ya malawi college of accountancy mca 
  mudayamba zandale kuyambira ndili wachichepere zaka 12 ndakhala ndikukhala mumaudindo utgogoleri ichi china mwa zinthu zomwe zidandilimbikitsa ndikhoza kudzapambana pazisankho chachikulu chomwe chidandichititsa ndilowe ukhansala chidali chakuti ndinkafuna kupereka mpata kwa azitha kuyankhula zakukhosi kwawo polimbikitsa demokalase chitukuko 
  ntchito mukugwira zomwe munkayembekezera eya ndiponso ndinkayembekezera zambiri 
  masomphenya anu otani pandale ndine munthu wokhulupirira mulungu ndili chikhulupiriro choti amene adzandionetsere zomwe ndikuyera tsogolo langa 
  zinthu zina zomwe mumachita chiyani pambali ukhansala ndikakhala sindikugwira ntchito yaukhansala ndimakhala ndikuchita bizinesi zina ndimakhala ndili kusukulu komwe ndikuchita maphuro anga digiri kuonjezera pamenepo ndili bungwe lomwe ndidayambitsa anzanga la centre for participatory democracy lomwe limalimbikitsa demokalase 
  zomwe mwakwanitsa zotani ndathandiza ntchito yopala misewu ya kudera la moyale itheke misewuyi yakhala yaitali osapalidwa ndidathandiziranso ochita malonda ayambe mashopu anjerwa kusiya kumangira matabwa zigwagwa ndidakwanitsanso kukaimirira khonsolo ya mzuzu ku nyumba ya malamulo ndaonanso ntchitoyi yandithandiza momwe ndimaonera zinthu ndimakumana osiyanasiyana omwe amandiphunzitsa zinthu zambiri 
",POLITICS
ID_AGoFySzn,"  mcp siidakhutire kalembera chipani cha malawi congress party mcp chati ndime yachiwiri ya kalembera wa zisankho yayenda poyerekeza yoyamba mec iganizire zobwereranso mmaboma omwe yadutsamo kale kaamba koti ambiri sadalembetse 
  wa bungwe la malawi electoral commission mec jane ansah wati wokhutira mmene kalembera wayendera mgawo lachiwiri 
   chakwera akwanitse malonjezohrdc   masankhidwe nduna autsa mapiri chigwa   malonjezo ayamba kuoneka ansah zinthu zayenda kalembera wa mgawoli amachitikira mmaboma dowa ntchisi mchinji nkhotakota 
  malingana lipoti lomwe mec yatulutsa mwa 1 048 080 omwe limayembekezera kulembetsa 875 138 ndiwo alembetsa 
  chiwerengerochi chikutanthauza mwa 100 aliwonse omwe amayenera kulembetsa 83 ndiwo alembetsa zomwe zachititsa mlembi wa mcp maurice munthali kupempha mec ibwererenso mmabomawo 
  pali chosekerera apa tiyenera kuyandikira kwenikweni ku chiwerengero cha omwe tidayenera kuwalembetsa zomwe zachitika apa zikusonyeza poyera ambiri sadalembetse choncho mec iyenera kubwereranso mmabomawo adatero munthali 
  mlembiyu adati ufulu wa demokalase kusiya munthu zimakhala zodandaulitsa 
  wa bungwe la human rights defenders timothy mtambo akugwirizana mcp kalemberayo adzachitikenso kaamba koti munthu ufulu wovota 
  wa bungwe la national initiative for civic education nice trust ollen mwalubunju adati zinthu mgawo lachiwiri zasintha kwambiri poyerekeza loyamba 
  pali kwakukulu mgawo loyamba timanena za 73 100 aliwonse tikunena za 83 100 aliwonse zikutanthauza zinthu zikusintha adatero mwalubunju 
  pazaganizo lobwereranso mmaboma momwe kalemberayu wachitika kale mwalubunju adati mpofunika kudikira kaye mec iwone mmene zinthu zitayendere mmaboma 
  malingana kalata ya mec yomwe yasayinidwa woyanganira zisankho sam alfandika mwa onse omwe alembetsa mgawo lachiwiriri 462 925 amayi 411 706 abambo 
  ansah adati zinthu zasintha kwambiri mgawoli poyerekeza mmene zidaliri mgawo loyamba mmaboma kasungu dedza salima 
  mavuto akulu omwe takumana nawo kuwonongeka kwa zipangizo zogwirira ntchito kusowa kwa dizilo wa ma generator athu zipangizo zoyendera mphamvu ya dzuwa sizimagwira ntchito moyenera potengera mmene nyengo ilili 
  mavutowa tawapezera njira zake moti kukubwera konseku ayembekezere kalembera wabwino adatero 
  ansah adati mec siidapange chiganizo nkhani yobwereranso mmaboma momwe yadutsamo kale 
",POLITICS
ID_AGrrkBGP,"bungwe la manepo lapempha boma liganizire achikulire mliri wa coronavirus bungwe loyanganira achikulire la malawi network of older persons organisation manepo lapempha boma liganizire achikulire pomwe likuyika ndondomeko zokhudza nthenda ya covid-19 
 kudzera kalata yomwe bungwe la manepo latulutsa wa bungweli andrew kavala wati kusowa kwa malamulo okhazikika oteteza achikulire kukupitilira kuyika anthuwa chiopsyezo cha nkhanza zosiyanasiyana 
 wapemphanso boma mabungwe pakhale njira zabwino zofalitsira mauthenga covid-19 nawo achikulire afikiridwe mauthenga okhudza njira zabwino zopewera mliriwu 
 za kuno ku malawi zimasala achikulire ichi chiopsezo chachikulu ku matenda covid-19 kwa amenewa anatero kavala 
 apempha boma liyike malamulo amphamvu oteteza achikulire kwa omwe amawaphwanyira ufulu 
",HEALTH
ID_AIJeigeG,"  ndale zogawanitsa miyambo zanyanya si zachilendonso kumva andale adzetsa ziwawa pamwambo wachikhalidwe lamulungu kudali gwiragwira kokhazikitsa mwambo wag ulu la ayao lomwe likutchedwa chiwanja cha ayao 
  pamwambowo wothandizira wachiwiri kwa mtsogoleri wa lino saulos chilima adamunjata pomuganizira zokaikitsa 
   csos in pay back our money campaign   govt to review genset deal   govt moves to audit firearms othandizira chilima pakati adamangidwa pochita zokaikitsa anthuwo ati adali mphatso yochoka kwa chilima adalephera kupereka cha zovuta zina 
  zimachitika patangotha mwezi patabukanso chisokonezo pamaliro themba la mathemba chikulamayembe mboma la rumphi   mpungwepungwe udadza pamene ampingo adalandidwa chimkuzamawu pamene amapereka mpata kwa chilima mtsogoleri wa zipani zotsutsa lazarus chakwera alankhule 
  nakonso ku mwambo wa gonapamuhanya wa atumbuka kwakhala kukuchitika zisokonezo zodza andale kwa zaka ziwiri zotsatizana 
  mmalo mopitira zomwe ayitanidwira andalewo amafuna kupikisana ku miyamboyo salola kugonjerana 
  polankhulapo mchitidwewo kadaulo wa ndale sukulu ya ukachenjede ya university of livingstonia george phiri adati vuto lalikulu limabwera okonza miyamboyo amapereka gawo lalikulu kwa andale   phiri adapereka chitsanzo cha mwambo wa kulamba omwe achewa amakonza mdziko la zambia komwe kumapita andale sapatsidwa mphanvu 
  adati zimathandiza kumaloko kusakhale mpikisano kudzionetsera pakati zipani 
  achikhalidwe azionetsetsa mwambowo uli mmanja mwawo osati kuwapatsa andale adalongosola phiri 
  adatinso vuto lina limadza maka andalewo akatenga gawo lalikulu popereka thandizo lokonzera mwambo wa mtunduwo 
  tiyeni tisiye zomachita ndale paliponse zikuononga chikhalidwe tizilekanitsa zinthuzi adatero phiri 
  naye mbusa macdonald sembereka yemwe wa akuluakulu omwe adakonza mwambo wa chiwanja cha ayao adati vuto la andale loti amafuna kudzionetsa wa mndani ku miyambo yachikhalidwe 
  sembereka adati andalewo amaphangira ku zochitikazo mpaka kuononga miyambo ya chikhalidwe 
  khalidwe ili silikuthandiza chikhalidwe chathu 
  tikuwapempha asamapezerepo mpata wotsatsa malonda miyamboyo adatero sembereka 
  adatinso andalewo ngofunika kulolerana imeneyo adapereka chitsanzo cha mtsogoleri wopuma wa lino joyce banda yemwe wa wa chiyao sadakhale nawo 
  anthufe tikungoyenera kudziwa chikhalidwe nchachikulu kuposa ndale ndale zikufunika kulamulilidwa chikhalidwe adatero sembereka 
  wapampando wa gulu losunga chikhalidwe cha achewa kanyama phiri adati gululo limakana kutengapo gawo ndale malamulo ochokera kwa gawa undi sawavomereza kutero 
  phiri adati popewa andale kuwasokonezera zachikhalidwe chawo gululo amakakumana kwa gawa undi basi 
  palibe cholakwika kuwaitana andalewo mpofunika kukhazikitsa ndondomeko zoti azitsatira akafika pamalowo adatero phiri 
  naye gogo chikalamba gondwe yemwe amakonza mwambo wa atumbuka wa gonapamuhanya omwe wakhala ukukumana mazangazime cha andale adati gulu lawo tsopano lidaika ndondomeko zomwe andalewo amatsatira popewa chisokonezo 
  komabe tinene zambiri tikayandikira yosankha atsogoleri andalewo amalowerera ndithu cholinga choti awadziwe adatero gondwe 
  adati gulu lake lidawauza andalewo akamapita ku mwambo wa gonapamuhanya azikangoonera osati kuchitapo ndale 
",POLITICS
ID_APMprMbV,"  nanga wapolisi ataphofomoka masiku ano sichikhala chachilendo kuona apolisi atakwera galimoto mosayenera ntchito yawo nkuonetsetsa malamulo akutsatidwa pamsewu apolisiwo ndiwo amakhala oyamba kuphwanya malamulowo kodi wamba atakwera galimoto achitira apa apolisi sangakalowe kozizira mwinatu iwowa mphamvu kuposa lamulo 
",LAW/ORDER
ID_ARZdpinF,"  kusamvetsetsana kwabuka ku mwanza kusamvetsetsana kwabuka pakati ku mphete mboma la mwanza ofesi ya dc wa bomali cha nyumba ya mphunzitsi pasukulu ya mphete imene kampani yokonza njani ya vale logistics idagwetsa 
  malinga mlembi wakomiti yoyendetsa ntchito za pasukulu ya mphete allan gaviyawo mchaka cha 2012 kampani ya vale logistics adagwetsa nyumba ya mphunzitsi imodzi pasukulu ya mphete inali pamalo pomwe payenera kudutsa njanji yomwe ikudutsa mdziko muno ku mozambique 
   chisale watuluka nkumangidwanso   sipakala waimitsa nyumba ya malamulo   chakwera akwanitse malonjezohrdc gaviyawo adati kampaniyi idalonjeza kuwapatsa mderali ndalama zokwana k1.5 miliyoni amangire nyumba ina pamalo zomwe mderali adakana ponena ndalamayi siinali yokwana kumangira nyumba ina yamakono yomwe inagwetsedwayo yomwe inali mphatso kwa mderali kubungwe la european union 
  zitachitika kampaniyo idalonjeza kupereka k12.7 miliyoni yoti nyumba ina imangidwe zomwe anthuwa adagwirizana nazo popeza amayembekezera ndalamayi ikanakwanira nyumba ziwiri zamakono za amphuzitsi mmalo mwa imodzi 
  mderali anadabwitsika poona ndalamazi zinakapelekedwa kuofesi ya dc yomwe idabwera kudzamanga nyumbayo aku mphete sakukhutisidwa nyumba yomwe ofesi ya dc wa boma la mwanza yamanga pasukulu ya mphete pakuyerekeza ndalama yomwe idaperekedwa yomangira nyumbayi adatero 
  wapampando wa khonsolo ya mwanza moses walota adati makhansala anzake mbomali atakayendera nyumbayo adakhumudwa momwe nyumbayo ayimangira sadakhutisidwe ndimamangidwewo 
  walota wanena ataona analembela kalata bwanankubwa wa boma la mwanza yomuunikira zolakwika zomwe mankhansalawa anapeza panyumbayi zoti zikonzedwe nyumbayi isanaperekedwe kwa aku mphete mmboma la mwanza mpaka lero kalatayo siinayankhidwe zolakwika nyumbayo sizinakonzedwebe 
  poyankhapo pankhaniyi dc wa boma la mwanza gift lappozo wavomereza nzoona kontilakitala yemwe adapatsidwa ntchitoyi wayithawa atagwira ntchito yosasangalatsa kumapeto kwenikweni kwantchitoyi bwanankubwayu adati padakalipano ofesi yake ikuunikanso bwinobwino mgwirizano omwe anagwirizana kontilakitayu asanapeze wina oti amalizitse ntchitoyi wakana kontilakitayu adapatsidwa ndalama zonse zokhudza ntchitoyi amalipidwa mzigawo akamaliza chigawo chilichonse chantchitoyi moyenerera 
  lapozo adati kusamvetsetsana komwe kulipo pakati ofesi yake aku mphete kwadza cha kusadziwa momwe ofesi ya bwanankubwa imachitira pogwira ntchito zimenezi komwe anthuwa alinako ndiponso chokuti anthuwosakufuna kumva kufotokoza komwe akhala akufotokzeredwa ofesi ya dc pazankhaniyi 
",LAW/ORDER
ID_ASbcNLkZ,"kwaya ya st james chilomoni yakwanitsa zaka 40 wolemba sylvester kasitomu wp content uploads/2019/09 chilomoni.jpg alt= width=""427 height=""391 />tchalitchi la st james chilomoni ku blantyre kwaya ya st james ya m`parish ya chilomoni arkdayosizi ya blantyre yayamikira mamembala ake omwe akhala akutumikira kwayayi kwa yaitali kamba ka kakudzipereka kwao potukula maimbidwe kwayayi 
 wapampando wa kwayayi ezekiel lokote ndiwo alankhula mwambo wa msembe ya ukaristia yothokoza mulungu kwayayi yakwanitsa zaka makumi anayi 40 chiyikhazikitsireni 
 ati mamembalawa achita zazikulu kwayayi kwa yaitali zomwe ati zathandiza kwambiri potuluka mayimbidwe kwayayi 
 ifeyo tinachiona cha nzeru tikonze mwambowu pofuna kuwathokoza mamemba athu kaamba ka ntchito yomwe agwira poonetsetsa mayimbidwe mukwayayi akhalepo kwa zaka 40 zapitazi mwa mamembalawa akwanitsa zaka 30 akuimbira mulungu mukwayayi zomwe ndizonyaditsa polankhulapo mwa omwe atumikira kwayayi kwa zaka zochuluka betti banda anayamba kwayayi zaka zochepa mpaka zomwe zachititsa moyo wawo wamapempero usinthike 
 ndinayamba kwaya imeneyi ndiri zaka 10 ndaimba kwayayi kwa zaka makumi atatu zomwe ndizopindulitsa moyo wanga wa uzimu kaamba koti pamene kwayayi ikukula inenso ndikukula muuzimu anatero banda 
 kwaya st james yomwe inayimbira misa yolandira mtsogoleri wa mpingo wakatolika lonse papa yohane paulo wachiwiri yemwe anayendera lino chaka cha 1989 inakhazikitsidwa chaka cha 1979 
",RELIGION
ID_AUwhZUlr,"  wamalonda avulazidwa ku bt titha masamba wa zaka 31 akumva ululu wadzaoneni ayende akuyenera agwirire ndodo sangagone chafufumimba chammbali chagada moyo wamtendere watha 
  akuti adamuphera tsogolo lake masamba kumva ululu kwake akuti izitu zili chonchi cha bala lomwe lili pabondo lake la kumanja lomwe lidasokedwa kuchipatala pambuyo pokhapidwa chikwanje 
   chisale watuluka nkumangidwanso   sipakala waimitsa nyumba ya malamulo   wenela pasintha zedi ulendo wa mayiyu wokagulitsa mandasi 7 july womwe udabweretsa mavutowa pomwe omwe akuwaganizira ogwira ntchito kukhonsolo ya mzinda wa blantyre city rangers amene adamuchita chiwembu pomulanda malonda ake kumuvulaza chikwanje 
  masamba akuti atangomwalira amuna ake 2007 adayamba geni yogulitsa mandasi azisamalira banja lake la ana awiri malo amene amagulitsira malonda akewo akuti ku cold storage kamuzu stadium mumzindawu 
  mwa zonse patsiku la ngozilo adauyatsa ulendo wokapha makwacha cold storage pali njanje ndiye ndidaika malonda anga chapafupi msewu womwe umadutsa pamwamba njajeyo ndikataye madzi ndisadalowere ku cold storage adatero masamba 
  pamene ndimati ndikatenge malondawo ndidangoona galimoto ya city yoyera mmbalimu idali ya sefa idadzaima pomwe padali mandasiwo adali mgalimotomo adatsika natenga beseni la mandasilo adandigwira ndidawauza angotenga mandasiwo asalimbane nane zidakanika 
  mayiyu yemwe akukhala ku makhetha mumzindawu akuti anthuwo adamubudulira malondawo mosakhalitsa zodabwitsa zidamuchitikira 
  adatulutsa chikwanje adandikhapa nacho pabondopa kaamba ka ululu apo sindikumbukanso chomwe chidachitika ndidangozindikira ndili pabedi kuchipatala ku queens cha mma 4 koloko madzulo adatero 
  akuti adazindikiranso k4 500 yomwe adamanga pansalu yake palibe 
  idali ndalama yomwe ndimati ndiwatumizire agogo anga ku dedza agogowa amadaliranso akafuna thandizo adatero 
  chichitikireni cha mayiyu akungobuula ululu kwake geni sangachitenso moyo tsopano wasanduka wovuta 
  mneneri wa khonsolo ya blantyre anthony kasunda akuti wangomva za nkhaniyi akufufuza kaye ngatidi adali antchito amene adachitira chipongwe mayiyu 
  ndikudabwa chifuma malo amene mayiwa akukamba sitifikako ndiye zikundidabwitsa zatheka mayiwa avulazidwe amene akuti akhonsolo ya blantyre adatero kasunda amene akuganiza mwina angakhale omwe achita 
  pamene kasunda akufufuza moyo wa masamba uli pachiswe ana ake akudalira asake chakudya cha tsiku tsiku zofunikira kusukulu 
  andiphera tsogolo tikadya ndiye ndachita geni nawo mpamba udathera kuchipatala chochita chikundisowa adalira mayiyu pocheza naye kwake 
",LAW/ORDER
ID_AZuLNDAC,"  aphungu adzuma kagawidwe ka makuponi ganizo la boma loyamba kugawa makuponi ogulira zipangizo za ulimi zotsika mtengo mupologalamu ya sabuside lalandilidwa maganizo osiyanasiyana pakati aphungu ku nyumba ya malamulo mafumu amalawi 
  kauniuni wa tamvani wapeza pomwe boma lili maganizo oyamba kugawa makuponiwa mchigawo cha kummwera maganizo makamaka polingalira mvula ili pakhomo mzigawo zonse 
   escom in free for all fuel scam   wait gets longer   secrecy over party funders lachinayi lapitali mudali chisokonezo mnyumba ya malamulo ku lilongwe pomwe aphungu amafuna boma lilongosole momveka cholinga choyamba kugawa makuponi kummwera 
  nkhani inakula mnyumba ya malamulo ya makuponi phungu wa kumadzulo kwa boma la mzimba harry mkandawire ndiye adatokosa nkhaniyi ponena mboma lake akufunika makuponi ogulira zipangizo zaulimi msanga mvula idagwa kale akudikira kudzala 
  nchifukwa chiyani mwasankha kuyambira kummwera pomwe mvula yayamba kale mmaboma ambiri mzigawo zonse pamenepa pali mafunso ambiri ofunika mulongosole adatero mkandawire 
  adakhazikike aphungu ambiri adaimirira pofuna kuonetsa kusakhutira kwawo ganizoli mpaka nduna ya zachuma goodall gondwe yemwe amayankha mmalo mwa nduna ya zamalimidwe allan chiyembekeza adavomereza ndondomeko ya sabuside idalakwika 
  gondwe adati ganizo loyamba kugawa makuponi ku mmwera lidadza polingalira zambiri mvula imayambira mchigawochi pakudza 
  si pali mangawa alionse ayi tikudziwa chaka chaka mvula imayambira kummwera ikamabwera nchifukwa tidaganiza zoyambira kumeneko adatero gondwe 
  yankholi silidagwire mtima aphunguwo adadzudzula boma cholephera kukonzekera mokwanira mupologalamuyi 
  wa mgwirizano wa mabungwe omwe amakhudzidwa nkhani za ulimi wa civil society agriculture network cisanet tamani nkhono mvula adati nchizolowezi kuyambira kummwera kugawa makuponi chaka chino chokha ndondomeko ikadasintha 
  adati boma lachedwa pachilichonse mundondomekoyi ndiye sipakufunika za mmbuyo kupeza njira zomwe zingagwirizane momwe zinthu zilili 
  chiyambireni boma silidakonzekere ndondomekoyi pena pake tikhoza kuwamvetsetsa pali mavuto zachuma adadziwa kalekale zimenezi amayenera njira adatero mvula 
  adati chomwe boma likadachita nkuthamangitsa chilichonse makuponi afikire mmadera onse mvula ikamayamba alimi asadzazingwe yothaitha 
  akuganiza poti yatha kale mavuto zachuma apo akadapanga zoti makuponi apezeke msanga alandire mzigawo zonse msanga 
  kunjaku kuli kale njala sitisamala chaka cha mawa kukhoza kudzakhala zovuta zenizeni alimi ambiri amadalira sabuside mmadera momwe amalima kwambiri mvula idagwa kale sali ku mmwera adatero mvula 
  paramount chief lundu wa mboma la chikwawa adati mmadera ambiri mchigawo cha pakati mvula idagwa kale akungoyembekeza kubzala 
  adati kuchedwetsa makuponi kupangitsa adzalandire mochedwa zomwe zingachititse mbewu zawo zidzasemphane mvula momwe zidalili chaka chatha 
  akadangoti tochepa tomweto agawe lonse mzigawo zonse abzaleko osati mchigawo chimodzi chokha sitikudziwanso makuponi enawo afika liti adzafika angati adatero lundu 
  paramount chief kyungu wa ku karonga adati kwa nkhani padakalipano chakudya osati makuponi momwe akunenera 
  adati mvula sidanunkhire mmaboma ambiri mchigawochi ndiye palibe kanthu komwe angayambire chachikulu apeze chakudya basi adatero kyungu 
  t mkanda wa ku mulanje adati wokondwa makuponi afika tsopano mdera lake akudikira mvula ikagwa akabzale mbewu mminda mwawo 
",FARMING
ID_AcAFvvEl,"  alosera mvula kugwa mochuluka nthambi yoona za nyengo ya department of climate change and meteorological services dccms yati mvula yamphamvu ikhala ikugwa kwa masiku angapo motsatizana 
   wenela pasintha zedi   anatchereza   tidakumana ku sukulu ku chiradzulu uwu ungakhale mpumulo polingalira momwe mbewu zafotera mminda lingakhale tsoka polingalira mvulayo ingachulukitse zidalili chaka chatha mmadera 
  mchikalata chosonyeza momwe nyengo ikhalire masiku angapo akudzawa nthambiyo idati mvula yamphamvuyi ikhala ikugwa lonse pafupifupi sabata yatuthu kuyambira lachinayi lapitali 
  kaamba ka ngamba chimanga china chidanyala mphepo yomwe ikuomba mmadera osiyanasiyana ipangitsa mvula yamphamvu kwambiri izigwa makamaka kuyambira lamulungu 17 january 2016 mmadera ambiri ayembekezere nyengo yotentha masana panthawiyi idatero nthambiyi mchikalatacho 
  wa nthambiyo jolam nkhokwe adati mmasiku angapo apitawa mvula adayeserako mmadera mchigawo chapakati kumpoto pomwe mmadera kumwera mvulayi imagwa monyentchera 
  mneneri wa nthambiyo ellen kululanga adati nzosadabwitsa ndimo zimakhalira kukakhala mphepo ya el nino momwe azanyengowa adalengezera kumayambiriro mvula 
  malawi mmphepete mwa zigawo ziwiri za africa kumwera kummawa zomwe zimapangitsa kabweredwe ka mvula kazisiyana mvula imavutirako mchigawo cha kumwera kaamba kakuti chili mbali ya kumwera kwa africa 
  chigawo cha kumpoto chomwe chili kumbali ya kumawa kwa africa mvula imachulukirapo moti mphepo imeneyi ya el nino madera kumwera mvula ivutirapo pomwe kumpoto madera pakati zinthu zikhalako adatero kululanga 
  ogwira ntchito zotukula ulimi mmaboma osiyanasiyana adatsimikizira nyuzipepala ya the nation ngamba yomwe idagwayi yaononga mbewu zambiri mmadera osiyanasiyana 
  mwa omwe adatsimikizira wachiwiri kwa oyendetsa ntchito za blantyre add aggrey kamanga otukula ntchito zaulimi mboma la machinga palichi munyenyembe omwe adati mvula idadula alimi nkhawa 
",WILDLIFE/ENVIRONMENT
