ID,Text,Label
ID_AASHwXxg," Mwangonde: Khansala wachinyamata Akamati achinyamata ndi atsogoleri a mawa, ambiri amaganiza kuti izi ndi nkhambakamwa chabe. Koma achinyamata ena, monga Lusubilo Mwangonde, akukwaniritsa akupherezetsa mawuwa osati pongolota kuti adzakhala, koma kutsogolera kumene chifukwa nthawi yawo yakwana. DAILES BANDA adacheza ndi Mwangonde, khansala wachinyama, yemwe akuimira Jumbo Ward mumzinda wa Mzuzu, motere:  Chisale watuluka nkumangidwanso  Sipakala waimitsa Nyumba ya Malamulo  Pa Wenela pasintha zedi Ali ndi masomphenya: Mwangonde Tikudziweni  Ndine Lusubilo Mwangonde, ndili ndi zaka 27 zakubadwa. Ndinabadwa mbanja la ana asanu ndipo ndine wachinayi kubadwa. Ndimachokera mmudzi mwa Mwamalopa, kwa Paramount Chief Kyungu mboma la Karonga. Sindili pabanja pakadalipano.
 Mbiri ya maphunziro anu ndi yotani? Maphunziro anga a pulaimale ndidachitira kusukula yapulaiveti ya Viphya mumzinda wa Mzuzu ndipo asekondale ndidachitira pa Phwezi Boys mboma la Rumphi. Ndili ndi diploma ya Accounting ndipo pakadalipano ndikupanga digiri komanso Chartered Accounting kusukulu ya Malawi College of Accountancy (MCA).
 Mudayamba bwanji zandale? Kuyambira ndili wachichepere, zaka 12, ndakhala ndikukhala mumaudindo a utgogoleri. Ichi ndi china mwa zinthu zomwe zidandilimbikitsa kuti ndikhoza kudzapambana pazisankho. Koma chachikulu chomwe chidandichititsa kuti ndilowe ukhansala chidali chifukwa chakuti ndinkafuna kupereka mpata kwa anthu kuti azitha kuyankhula zakukhosi kwawo polimbikitsa demokalase ndi chitukuko.
 Ntchito mukugwira ndi zomwe munkayembekezera? Eya, ndiponso ndinkayembekezera zambiri.
 Masomphenya anu ndi otani pandale? Ine ndine munthu wokhulupirira Mulungu ndipo ndili ndi chikhulupiriro choti Iye ndi amene adzandionetsere zomwe ndikuyera kuchita ndi tsogolo langa.
 Zinthu zina zomwe mumachita ndi chiyani pambali pa ukhansala? Ndikakhala sindikugwira ntchito yaukhansala ndimakhala ndikuchita bizinesi, nthawi zina ndimakhala ndili kusukulu komwe ndikuchita maphuro anga a digiri. Kuonjezera pamenepo ndili ndi bungwe lomwe ndidayambitsa ndi anzanga ena la Centre for Participatory Democracy lomwe limalimbikitsa demokalase.
 Zomwe mwakwanitsa ndi zotani? Ndathandiza kuti ntchito yopala misewu ya kudera la Moyale itheke. Misewuyi yakhala nthawi yaitali osapalidwa. Ndidathandiziranso kuti ochita malonda ayambe kumanga mashopu anjerwa ndi kusiya kumangira matabwa kapena zigwagwa. Ndidakwanitsanso kukaimirira khonsolo ya Mzuzu ku Nyumba ya Malamulo. Ndaonanso kuti ntchitoyi yandithandiza kusintha momwe ndimaonera zinthu komanso ndimakumana ndi anthu osiyanasiyana omwe amandiphunzitsa zinthu zambiri.
",POLITICS
ID_AGoFySzn," MCP siidakhutire ndi kalembera Chipani cha Malawi Congress Party (MCP) chati ngakhale ndime yachiwiri ya kalembera wa zisankho yayenda bwino poyerekeza ndi yoyamba, MEC iganizire zobwereranso mmaboma omwe yadutsamo kale kaamba koti anthu ambiri sadalembetse.
 Koma mkulu wa bungwe la Malawi Electoral Commission (MEC), Jane Ansah, wati ndi wokhutira ndi mmene kalembera wayendera mgawo lachiwiri.
  Chakwera akwanitse malonjezoHRDC  Masankhidwe a nduna autsa mapiri pa chigwa  Malonjezo ayamba kuoneka Ansah: Zinthu zayenda bwino Kalembera wa mgawoli amachitikira mmaboma a Dowa, Ntchisi, Mchinji ndi Nkhotakota.
 Malingana ndi lipoti lomwe MEC yatulutsa, mwa anthu 1 048 080 omwe limayembekezera kulembetsa, anthu 875 138 ndiwo alembetsa.
 Chiwerengerochi chikutanthauza kuti mwa anthu 100 aliwonse omwe amayenera kulembetsa, 83 ndiwo alembetsa zomwe zachititsa mlembi wa MCP, Maurice Munthali, kupempha MEC kuti ibwererenso mmabomawo.
 Pali chosekerera apa? Tiyenera kuyandikira kwenikweni ku chiwerengero cha anthu omwe tidayenera kuwalembetsa, koma zomwe zachitika apa zikusonyeza poyera kuti anthu ambiri sadalembetse. Choncho MEC iyenera kubwereranso mmabomawo, adatero Munthali.
 Mlembiyu adati mu ufulu wa demokalase ngakhale kusiya munthu mmodzi zimakhala zodandaulitsa.
 Mkulu wa bungwe la Human Rights Defenders, Timothy Mtambo, akugwirizana ndi MCP kuti kalemberayo adzachitikenso kaamba koti munthu aliyense ali ndi ufulu wovota.
 Mkulu wa bungwe la National Initiative for Civic Education (Nice) Trust, Ollen Mwalubunju, adati zinthu mgawo lachiwiri zasintha kwambiri poyerekeza ndi loyamba.
 Pali kusintha kwakukulu chifukwa mgawo loyamba timanena za anthu 73 pa anthu 100 aliwonse, koma pano tikunena za anthu 83 pa anthu 100 aliwonse. Izi zikutanthauza kuti zinthu zikusintha, adatero Mwalubunju.
 Pazaganizo lobwereranso mmaboma momwe kalemberayu wachitika kale, Mwalubunju adati mpofunika kudikira kaye kuti MEC iwone mmene zinthu zitayendere mmaboma ena.
 Malingana ndi kalata ya MEC yomwe yasayinidwa ndi woyanganira zisankho, Sam Alfandika, mwa anthu onse omwe alembetsa mgawo lachiwiriri, 462 925 ndi amayi ndipo 411 706 ndi abambo.
 Ansah adati zinthu zasintha kwambiri mgawoli poyerekeza ndi mmene zidaliri mgawo loyamba mmaboma a Kasungu, Dedza ndi Salima.
 Mavuto a akulu omwe takumana nawo ndi kuwonongeka kwa zipangizo zogwirira ntchito, kusowa kwa dizilo wa ma generator athu, komanso zipangizo zoyendera mphamvu ya dzuwa sizimagwira bwino ntchito moyenera potengera ndi mmene nyengo ilili.
 Mavutowa tawapezera njira zake moti kukubwera konseku, anthu ayembekezere kalembera wabwino, iye adatero.
 Ansah adati MEC siidapange chiganizo pa nkhani yobwereranso mmaboma momwe yadutsamo kale.
",POLITICS
ID_AGrrkBGP,"Bungwe la MANEPO Lapempha Boma Liganizire Anthu Achikulire pa Mliri wa Coronavirus Bungwe loyanganira anthu achikulire la Malawi Network of Older Persons Organisation (MANEPO) lapempha boma kuti liganizire anthu achikulire pomwe likuyika ndondomeko zokhudza nthenda ya COVID-19. 
Kudzera mu kalata yomwe bungwe la Manepo latulutsa, mkulu wa bungweli Andrew Kavala wati kusowa kwa malamulo okhazikika oteteza anthu achikulire kukupitilira kuyika anthuwa pa chiopsyezo cha nkhanza zosiyanasiyana. 
Iye wapemphanso boma ndi mabungwe kuti pakhale njira zabwino zofalitsira mauthenga a COVID-19 kuti nawo anthu achikulire afikiridwe ndi mauthenga okhudza njira zabwino zopewera mliriwu. 
Mfundo za kuno ku Malawi zimasala anthu achikulire ndipo ichi ndi chiopsezo chachikulu ku matenda a COVID-19 kwa anthu amenewa, anatero a Kavala. 
Iwo apempha boma kuti liyike malamulo amphamvu oteteza anthu achikulire kwa anthu omwe amawaphwanyira ufulu. 
",HEALTH
ID_AIJeigeG," Ndale zogawanitsa miyambo zanyanya Si zachilendonso kumva kuti andale adzetsa ziwawa pamwambo wachikhalidwe. Lamulungu, kudali gwiragwira kokhazikitsa mwambo wag ulu la Ayao lomwe likutchedwa Chiwanja Cha Ayao.
 Pamwambowo, wothandizira wachiwiri kwa mtsogoleri wa dziko lino Saulos Chilima adamunjata pomuganizira kuti amachita zokaikitsa.
  CSOs in Pay Back Our Money campaign  Govt to review Genset deal  Govt moves to audit firearms Othandizira Chilima (pakati) adamangidwa pochita zokaikitsa Anthuwo ati adali ndi mphatso yochoka kwa Chilima koma adalephera kupereka chifukwa cha zovuta zina.
 Izi zimachitika patangotha mwezi, patabukanso chisokonezo pamaliro a Themba la Mathemba Chikulamayembe mboma la Rumphi.  Mpungwepungwe udadza pamene ampingo adalandidwa chimkuzamawu pamene amapereka mpata kwa Chilima ndi mtsogoleri wa zipani zotsutsa Lazarus Chakwera kuti alankhule.
 Nakonso ku mwambo wa Gonapamuhanya wa Atumbuka kwakhala kukuchitika zisokonezo zodza ndi andale kwa zaka ziwiri zotsatizana.
 Mmalo mopitira zomwe ayitanidwira, andalewo amafuna kupikisana ku miyamboyo ndipo salola kugonjerana.
 Polankhulapo pa mchitidwewo, kadaulo wa ndale pa sukulu ya ukachenjede ya University of Livingstonia George Phiri adati vuto lalikulu limabwera chifukwa okonza miyamboyo amapereka gawo lalikulu kwa andale.  Phiri adapereka chitsanzo cha mwambo wa kulamba omwe Achewa amakonza mdziko la Zambia komwe ngakhale kumapita andale, sapatsidwa mphanvu.
 Iye adati izi zimathandiza kuti kumaloko kusakhale mpikisano ndi kudzionetsera pakati pa zipani.
 Achikhalidwe azionetsetsa kuti mwambowo uli mmanja mwawo osati kuwapatsa andale, adalongosola Phiri.
 Iye adatinso vuto lina limadza maka andalewo akatenga gawo lalikulu popereka thandizo lokonzera mwambo wa mtunduwo.
 Tiyeni tisiye zomachita ndale paliponse chifukwa zikuononga chikhalidwe. Tizilekanitsa zinthuzi, adatero Phiri.
 Naye mbusa Macdonald Sembereka yemwe ndi mmodzi wa akuluakulu omwe adakonza mwambo wa Chiwanja cha Ayao adati vuto la andale ndi loti amafuna kudzionetsa kuti wa mkulu mndani ku miyambo yachikhalidwe.
 Sembereka adati andalewo amaphangira ku zochitikazo mpaka kuononga miyambo ya chikhalidwe.
 Khalidwe ili silikuthandiza chikhalidwe chathu.
 Tikuwapempha kuti asamapezerepo mpata wotsatsa malonda awo pa miyamboyo, adatero Sembereka.
 Iye adatinso andalewo ngofunika kulolerana pa nthawi ngati imeneyo ndipo adapereka chitsanzo cha mtsogoleri wopuma wa dziko lino Joyce Banda yemwe ngakhale ali wa mtundu wa Chiyao sadakhale nawo.
 Anthufe tikungoyenera kudziwa kuti chikhalidwe nchachikulu kuposa ndale ndipo ndale zikufunika kulamulilidwa ndi chikhalidwe, adatero Sembereka.
 Wapampando wa gulu losunga chikhalidwe cha Achewa, Kanyama Phiri adati gululo limakana kutengapo gawo pa ndale chifukwa malamulo awo ochokera kwa Gawa Undi sawavomereza kutero.
 Phiri adati popewa andale kuwasokonezera zachikhalidwe chawo, gululo amakakumana kwa Gawa Undi basi.
 Palibe cholakwika kuwaitana andalewo koma mpofunika kukhazikitsa ndondomeko zoti azitsatira akafika pamalowo, adatero Phiri.
 Naye Gogo Chikalamba Gondwe yemwe amakonza mwambo wa Atumbuka wa Gonapamuhanya omwe wakhala ukukumana ndi mazangazime chifukwa cha andale, adati gulu lawo tsopano lidaika ndondomeko zomwe andalewo amatsatira popewa chisokonezo.
 Komabe tinene kuti nthawi zambiri tikayandikira nthawi yosankha atsogoleri, andalewo amalowerera ndithu cholinga choti anthu awadziwe, adatero Gondwe.
 Iye adati gulu lake lidawauza andalewo kuti akamapita ku mwambo wa Gonapamuhanya, azikangoonera osati kuchitapo ndale.
",POLITICS
ID_APMprMbV," Nanga wapolisi ataphofomoka? Masiku ano sichikhala chachilendo kuona apolisi atakwera galimoto mosayenera. Ngakhale ntchito yawo nkuonetsetsa kuti malamulo akutsatidwa, ngakhale pamsewu, apolisiwo ndiwo amakhala oyamba kuphwanya malamulowo. Kodi anthu wamba atakwera galimoto monga achitira apa apolisi, sangakalowe kozizira? Mwinatu iwowa ali ndi mphamvu kuposa lamulo.
",LAW/ORDER
ID_ARZdpinF," Kusamvetsetsana kwabuka ku Mwanza Kusamvetsetsana kwabuka pakati pa anthu a ku Mphete mboma la Mwanza ndi ofesi ya DC wa bomali chifukwa cha nyumba ya mphunzitsi pasukulu ya Mphete imene kampani yokonza njani ya Vale Logistics idagwetsa.
 Malinga ndi mlembi wakomiti yoyendetsa ntchito za pasukulu ya Mphete, Allan Gaviyawo , mchaka cha 2012 a kampani ya Vale Logistics adagwetsa nyumba ya mphunzitsi imodzi pasukulu ya Mphete chifukwa inali pamalo pomwe payenera kudutsa njanji yomwe ikudutsa mdziko muno kuchokera ku Mozambique.
  Chisale watuluka nkumangidwanso  Sipakala waimitsa Nyumba ya Malamulo  Chakwera akwanitse malonjezoHRDC Gaviyawo adati kampaniyi idalonjeza kuwapatsa anthu a mderali ndalama zokwana K1.5 miliyoni kuti amangire nyumba ina pamalo ena zomwe anthu a mderali adakana ponena kuti ndalamayi siinali yokwana kumangira nyumba ina yamakono ngati yomwe inagwetsedwayo yomwe inali mphatso kwa anthu a mderali kuchokera kubungwe la European Union.
 Zitachitika izo, kampaniyo idalonjeza kupereka K12.7 miliyoni yoti nyumba ina imangidwe zomwe anthuwa adagwirizana nazo popeza amayembekezera kuti ndalamayi ikanakwanira kumanga nyumba ziwiri zamakono za amphuzitsi mmalo mwa imodzi.
 Anthu a mderali anadabwitsika poona kuti ndalamazi zinakapelekedwa kuofesi ya DC yomwe idabwera kudzamanga nyumbayo ndipo anthu aku Mphete sakukhutisidwa ndi nyumba yomwe ofesi ya DC wa boma la Mwanza yamanga pasukulu ya Mphete pakuyerekeza ndi ndalama yomwe idaperekedwa yomangira nyumbayi, adatero iye.
 Wapampando wa khonsolo ya Mwanza Moses Walota adati iye ndi makhansala anzake mbomali atakayendera nyumbayo adakhumudwa ndi momwe nyumbayo ayimangira ndipo sadakhutisidwe ndimamangidwewo.
 Walota wanena kuti ataona izi analembela kalata bwanankubwa wa boma la mwanza yomuunikira zolakwika zomwe mankhansalawa anapeza panyumbayi zoti zikonzedwe nyumbayi isanaperekedwe kwa anthu aku mphete mmboma la Mwanza. Koma mpaka lero kalatayo siinayankhidwe ndipo zolakwika pa nyumbayo sizinakonzedwebe.
 Poyankhapo pankhaniyi DC wa boma la Mwanza Gift Lappozo wavomereza kuti nzoona kuti kontilakitala yemwe adapatsidwa ntchitoyi wayithawa atagwira ntchito yosasangalatsa kumapeto kwenikweni kwantchitoyi koma bwanankubwayu adati padakalipano ofesi yake ikuunikanso bwinobwino mgwirizano omwe anagwirizana ndi kontilakitayu asanapeze wina oti amalizitse ntchitoyi Koma iye wakana kuti kontilakitayu adapatsidwa ndalama zonse zokhudza ntchitoyi koma kuti amalipidwa mzigawo akamaliza chigawo chilichonse chantchitoyi moyenerera.
 Lapozo adati kusamvetsetsana komwe kulipo pakati pa ofesi yake ndi anthu aku Mphete kwadza chifukwa cha kusadziwa momwe ofesi ya bwanankubwa imachitira pogwira ntchito ngati zimenezi komwe anthuwa alinako ndiponso chifukwa chokuti anthuwosakufuna kumva kufotokoza komwe akhala akufotokzeredwa ndi ofesi ya DC pazankhaniyi.
",LAW/ORDER
ID_ASbcNLkZ,"Kwaya ya St. James Chilomoni Yakwanitsa Zaka 40 Wolemba: Sylvester Kasitomu wp-content/uploads/2019/09/chilomoni.jpg"" alt="""" width=""427"" height=""391"" />Tchalitchi la St. James Chilomoni ku Blantyre Kwaya ya St. James ya m`parish ya Chilomoni mu arkdayosizi ya Blantyre yayamikira mamembala ake omwe akhala akutumikira mu kwayayi kwa nthawi yaitali kamba ka kakudzipereka kwao potukula maimbidwe mu kwayayi. 
Wapampando wa kwayayi a Ezekiel Lokote ndiwo alankhula izi pa mwambo wa msembe ya ukaristia yothokoza mulungu kuti kwayayi yakwanitsa zaka makumi anayi (40) chiyikhazikitsireni. 
Iwo ati mamembalawa achita zazikulu mu kwayayi kwa nthawi yaitali zomwe ati zathandiza kwambiri potuluka mayimbidwe a kwayayi. 
Ifeyo tinachiona cha nzeru kuti tikonze mwambowu pofuna kuwathokoza mamemba athu kaamba ka ntchito yomwe agwira poonetsetsa kuti mayimbidwe mukwayayi akhalepo kwa zaka 40 zapitazi ena mwa mamembalawa akwanitsa zaka 30 akuimbira mulungu mukwayayi zomwe ndizonyaditsa Polankhulapo mmodzi mwa omwe atumikira kwayayi kwa zaka zochuluka mayi Betti Banda anati iwo anayamba kwayayi ali ndi zaka zochepa mpaka pano zomwe zachititsa kuti moyo wawo wamapempero usinthike. 
Ndinayamba kwaya imeneyi ndiri ndi zaka 10 ndipo ndaimba kwayayi kwa zaka makumi atatu zomwe ndizopindulitsa mu moyo wanga wa uzimu kaamba koti pamene kwayayi ikukula inenso ndikukula muuzimu, anatero mayi Banda. 
Kwaya St. James yomwe inayimbira misa yolandira mtsogoleri wa mpingo wakatolika pa dziko lonse papa yohane Paulo wachiwiri yemwe anayendera dziko lino mu chaka cha 1989 inakhazikitsidwa mu chaka cha 1979. 
",RELIGION
ID_AUwhZUlr," Mayi wamalonda avulazidwa ku bt Titha Masamba, wa zaka 31, akumva ululu wadzaoneni. Kuti ayende akuyenera agwirire ndodo; sangagone chafufumimba koma chammbali kapena chagada; moyo wamtendere watha.
 Akuti adamuphera tsogolo lake: Masamba kumva ululu kunyumba kwake Akuti izitu zili chonchi chifukwa cha bala lomwe lili pabondo lake la kumanja lomwe lidasokedwa kuchipatala pambuyo pokhapidwa ndi chikwanje.
  Chisale watuluka nkumangidwanso  Sipakala waimitsa Nyumba ya Malamulo  Pa Wenela pasintha zedi Ulendo wa mayiyu wokagulitsa mandasi pa 7 July ndi womwe udabweretsa mavutowa pomwe anthu ena, omwe akuwaganizira kuti ogwira ntchito kukhonsolo ya mzinda wa Blantyre (city rangers) amene adamuchita chiwembu pomulanda malonda ake komanso kumuvulaza ndi chikwanje.
 Masamba akuti atangomwalira amuna ake mu 2007, iye adayamba geni yogulitsa mandasi kuti azisamalira banja lake la ana awiri. Malo amene amagulitsira malonda akewo akuti ndi ku Cold Storage pafupi ndi Kamuzu Stadium mumzindawu.
 Monga mwa nthawi zonse, patsiku la ngozilo, adauyatsa ulendo wokapha makwacha. Pafupi ndi Cold Storage pali njanje ndiye ndidaika malonda anga chapafupi ndi msewu womwe umadutsa pamwamba pa njajeyo kuti ndikataye madzi ndisadalowere ku Cold Storage, adatero Masamba.
 Pamene ndimati ndikatenge malondawo, ndidangoona galimoto ya City, yoyera ndipo mmbalimu idali ya sefa. Idadzaima pafupi ndi pomwe padali mandasiwo ndipo adali mgalimotomo adatsika natenga beseni la mandasilo. Ena adandigwira ndipo ndidawauza kuti angotenga mandasiwo asalimbane nane koma zidakanika.
 Mayiyu, yemwe akukhala ku Makhetha mumzindawu, akuti anthuwo adamubudulira malondawo ndipo mosakhalitsa zodabwitsa zidamuchitikira.
 Mmodzi adatulutsa chikwanje ndipo adandikhapa nacho pabondopa. Kaamba ka ululu kuchokera apo sindikumbukanso chomwe chidachitika ndipo ndidangozindikira ndili pabedi kuchipatala ku Queens cha mma 4 koloko madzulo, adatero.
 Iye akuti adazindikiranso kuti K4 500 yomwe adamanga pansalu yake palibe.
 Idali ndalama yomwe ndimati ndiwatumizire agogo anga ku Dedza. Agogowa amadaliranso ine akafuna thandizo, adatero iye.
 Chichitikireni cha izi, mayiyu akungobuula ndi ululu kunyumba kwake. Geni sangachitenso, moyo tsopano wasanduka wovuta.
 Mneneri wa khonsolo ya Blantyre Anthony Kasunda akuti wangomva za nkhaniyi koma akufufuza kaye ngatidi adali antchito awo amene adachitira chipongwe mayiyu.
 Ndikudabwa chifuma malo amene mayiwa akukamba ife sitifikako. Ndiye zikundidabwitsa kuti zatheka bwanji kuti mayiwa avulazidwe ndi anthu amene akuti ndi akhonsolo ya Blantyre, adatero Kasunda, amene akuganiza kuti mwina angakhale anthu ena omwe achita izi.
 Pamene Kasunda akufufuza, moyo wa Masamba uli pachiswe chifukwa ana ake akudalira iye kuti asake chakudya cha tsiku ndi tsiku komanso zofunikira kusukulu.
 Andiphera tsogolo. Tikadya ndiye kuti ndachita geni. Nawo mpamba udathera kuchipatala. Chochita chikundisowa, adalira mayiyu pocheza naye kunyumba kwake.
",LAW/ORDER
ID_AZuLNDAC," Aphungu adzuma ndi kagawidwe ka makuponi Ganizo la boma loyamba kugawa makuponi ogulira zipangizo za ulimi zotsika mtengo mupologalamu ya sabuside lalandilidwa ndi maganizo osiyanasiyana pakati pa aphungu a ku Nyumba ya Malamulo, mafumu ndi Amalawi ena.
 Kauniuni wa Tamvani wapeza kuti pomwe boma lili ndi maganizo oyamba kugawa makuponiwa mchigawo cha kummwera, anthu ali ndi maganizo ena makamaka polingalira kuti mvula ili pakhomo mzigawo zonse.
  Escom in free-for-all fuel scam  Wait gets longer  Secrecy over party funders Lachinayi lapitali mudali chisokonezo mNyumba ya Malamulo ku Lilongwe pomwe aphungu amafuna kuti boma lilongosole momveka bwino cholinga choyamba kugawa makuponi kummwera.
 Nkhani inakula mNyumba ya Malamulo ndi ya makuponi Phungu wa kumadzulo kwa boma la Mzimba Harry Mkandawire ndiye adatokosa nkhaniyi ponena kuti anthu a mboma lake akufunika makuponi ogulira zipangizo zaulimi msanga chifukwa mvula idagwa kale ndipo anthu akudikira kudzala.
 Nchifukwa chiyani mwasankha kuyambira kummwera pomwe mvula yayamba kale mmaboma ambiri mzigawo zonse? Pamenepa pali mafunso ambiri ofunika mulongosole bwino,adatero Mkandawire.
 adakhazikike, aphungu ambiri adaimirira pofuna kuonetsa kusakhutira kwawo ndi ganizoli mpaka nduna ya zachuma Goodall Gondwe, yemwe amayankha mmalo mwa nduna ya zamalimidwe, Allan Chiyembekeza, adavomereza kuti ndondomeko ya sabuside idalakwika.
 Gondwe adati ganizo loyamba kugawa makuponi ku mmwera lidadza polingalira kuti nthawi zambiri mvula imayambira mchigawochi pakudza.
 Si kuti pali mangawa alionse, ayi, koma monga tikudziwa, chaka ndi chaka mvula imayambira kummwera ikamabwera nchifukwa tidaganiza zoyambira kumeneko, adatero Gondwe.
 Yankholi silidagwire mtima aphunguwo ndipo adadzudzula boma chifukwa cholephera kukonzekera mokwanira mupologalamuyi.
 Mkulu wa mgwirizano wa mabungwe omwe amakhudzidwa ndi nkhani za ulimi wa Civil Society Agriculture Network (Cisanet) Tamani Nkhono-Mvula adati ngakhale kuti nchizolowezi kuyambira kummwera kugawa makuponi, chaka chino chokha ndondomeko ikadasintha.
 Iye adati boma lachedwa pachilichonse mundondomekoyi ndiye sipakufunika kutsatira za mmbuyo koma kupeza njira zomwe zingagwirizane ndi momwe zinthu zilili.
 Chiyambireni, boma silidakonzekere bwino ndondomekoyi. Pena pake tikhoza kuwamvetsetsa kuti pali mavuto a zachuma koma adadziwa kalekale zimenezi ndipo pano amayenera kukhala ndi njira, adatero Mvula.
 Iye adati chomwe boma likadachita nkuthamangitsa chilichonse kuti makuponi afikire mmadera onse kuti mvula ikamayamba alimi asadzazingwe nthawi yothaitha.
 Akuganiza bwanji poti nthawi yatha kale? Mavuto a zachuma ali apo, akadapanga zoti makuponi apezeke msanga ndipo anthu alandire mzigawo zonse msanga.
 Kunjaku kuli kale njala ndipo ngati sitisamala, chaka cha mawa kukhoza kudzakhala zovuta zenizeni chifukwa alimi ambiri amadalira sabuside ndipo mmadera momwe anthu amalima kwambiri, mvula idagwa kale koma sali ku mmwera, adatero Mvula.
 Paramount Chief Lundu wa mboma la Chikwawa adati mmadera ambiri mchigawo cha pakati mvula idagwa kale ndipo anthu akungoyembekeza kubzala.
 Iye adati kuchedwetsa makuponi kupangitsa kuti anthu adzalandire mochedwa zomwe zingachititse kuti mbewu zawo zidzasemphane ndi mvula monga momwe zidalili chaka chatha.
 Akadangoti tochepa tomweto agawe dziko lonse kuti mzigawo zonse anthu ena abzaleko osati mchigawo chimodzi chokha chifukwa sitikudziwanso kuti makuponi enawo afika liti ndipo adzafika angati, adatero Lundu.
 Paramount Chief Kyungu wa ku Karonga adati kwa iye nkhani yaikulu padakalipano ndi chakudya osati makuponi monga momwe anthu ena akunenera.
 Iye adati mvula sidanunkhire mmaboma ambiri mchigawochi ndiye palibe kanthu komwe angayambire chachikulu anthu apeze chakudya basi, adatero Kyungu.
 T/A Mkanda wa ku Mulanje adati iye ndi wokondwa kuti makuponi afika tsopano mdera lake ndipo akudikira kuti mvula ikagwa anthu akabzale mbewu mminda mwawo.
",FARMING
ID_AcAFvvEl," Alosera mvula kugwa mochuluka Nthambi yoona za nyengo ya Department of Climate Change and Meteorological Services (DCCMS) yati mvula yamphamvu ikhala ikugwa kwa masiku angapo motsatizana.
  Pa Wenela pasintha zedi  ANatchereza  Tidakumana ku sukulu ku Chiradzulu Uwu ungakhale mpumulo polingalira momwe mbewu zafotera mminda komanso lingakhale tsoka polingalira ngati mvulayo ingachulukitse monga zidalili chaka chatha mmadera ena.
 Mchikalata chosonyeza momwe nyengo ikhalire masiku angapo akudzawa, nthambiyo idati mvula yamphamvuyi ikhala ikugwa dziko lonse pafupifupi sabata yatuthu kuyambira lachinayi lapitali.
 Kaamba ka ngamba, chimanga china chidanyala Mphepo yomwe ikuomba kuchokera mmadera osiyanasiyana, ipangitsa kuti mvula yamphamvu kwambiri izigwa makamaka kuyambira Lamulungu pa 17 January, 2016. Mmadera ambiri, anthu ayembekezere nyengo yotentha masana panthawiyi, idatero nthambiyi mchikalatacho.
 Mkulu wa nthambiyo Jolam Nkhokwe adati mmasiku angapo apitawa, mvula adayeserako mmadera a mchigawo chapakati ndi kumpoto pomwe mmadera a kumwera, mvulayi imagwa monyentchera.
 Mneneri wa nthambiyo, Ellen Kululanga, adati izi nzosadabwitsa chifukwa ndimo zimakhalira kukakhala mphepo ya El Nino monga momwe azanyengowa adalengezera kumayambiriro a mvula.
 Malawi ali mmphepete mwa zigawo ziwiri za Africa kumwera ndi kummawa zomwe zimapangitsa kuti kabweredwe ka mvula kazisiyana. Mvula imavutirako mchigawo cha kumwera kaamba kakuti chili mbali ya kumwera kwa Africa.
 Chigawo cha kumpoto chomwe chili kumbali ya kumawa kwa Africa, mvula imachulukirapo moti ndi mphepo imeneyi ya El Nino, madera a kumwera mvula ivutirapo pomwe kumpoto ndi madera ena pakati zinthu zikhalako bwino, adatero Kululanga.
 Ogwira ntchito zotukula ulimi mmaboma osiyanasiyana adatsimikizira nyuzipepala ya The Nation kuti ngamba yomwe idagwayi yaononga mbewu zambiri mmadera osiyanasiyana.
 Ena mwa omwe adatsimikizira izi ndi wachiwiri kwa oyendetsa ntchito za Blantyre ADD Aggrey Kamanga komanso otukula ntchito zaulimi mboma la Machinga Palichi Munyenyembe omwe adati mvula idadula ndipo alimi ali ndi nkhawa.
",WILDLIFE/ENVIRONMENT
